runNumber,type,origin,destination,days,startTime,endTime,distance,rateType,workTime,requiresDoublesEndorsement,requiresChainExperience,isActive
1,Doubles,DEN,WAM,"M,T,W,TH,F",1:45 PM,12:45 AM,562,Miles,11.25,TRUE,FALSE,TRUE
2,Doubles,DEN,WAM,"M,T,W,TH,F",9:15 PM,8:30 AM,562,Miles,11.25,TRUE,FALSE,TRUE
3,Doubles,DEN,WAM,"M,T,W,TH,F",6:45 PM,5:30 AM,562,Miles,11.25,TRUE,FALSE,TRUE
4,Doubles,DEN,CPR,"M,T,W,TH,F",8:45 PM,7:45 AM,546,Miles,11.00,TRUE,FALSE,TRUE
5,Doubles,DEN,CPR,"M,T,W,TH,F",8:45 PM,7:45 AM,546,Miles,11.00,TRUE,FALSE,TRUE
6,Doubles,DEN,TAD,"M,T,W,TH,F",10:15 PM,7:00 AM,398,Miles,9.25,TRUE,FALSE,TRUE
7,Doubles,DEN,TAD,"M,T,W,TH,F",9:15 PM,6:15 AM,398,Miles,9.25,TRUE,FALSE,TRUE
8,Singles,DEN,WAK,"M,T,W,TH,F",7:15 PM,6:30 AM,616,Miles,11.25,FALSE,FALSE,TRUE
9,Singles,DEN,NPL,"M,T,W,TH,F",8:15 PM,5:00 AM,524,Miles,11.25,FALSE,FALSE,TRUE
10,Singles,DEN,NPL,"M,T,W,TH,F",2:45 PM,1:30 AM,524,Miles,11.25,FALSE,FALSE,TRUE
11,Singles,DEN,NPL,"M,T,W,TH,F",7:45 PM,7:00 AM,524,Miles,11.25,FALSE,FALSE,TRUE
12,Singles,DEN,NPL,"M,T,W,TH,F",7:45 PM,7:00 AM,524,Miles,11.25,FALSE,FALSE,TRUE
13,Singles,DEN,NPL,"M,T,W,TH,F",10:15 PM,9:15 AM,524,Miles,11.25,FALSE,FALSE,TRUE
14,Singles,DEN,OAK,"M,T,W,TH,F",9:15 PM,6:45 AM,510,Miles,11.25,FALSE,FALSE,TRUE
15,Singles,DEN,SFK,"M,T,W,TH,F",11:15 PM,10:00 AM,482,Miles,11.25,FALSE,FALSE,TRUE
16,Singles,DEN,NCS,"M,T,W,TH,F",11:15 PM,8:15 AM,350,Flat Rate,9.00,FALSE,FALSE,TRUE
17,Singles,DEN,NCS,"M,T,W,TH,F",11:15 PM,8:15 AM,350,Flat Rate,9.00,FALSE,FALSE,TRUE
18,Singles,DEN,VIL,"M,T,W,TH,F",9:45 PM,6:15 AM,342,Flat Rate,8.75,FALSE,FALSE,TRUE
